a	ئا
كیشادێا	فارسی:آنرا بركشید
كیشادێان‌	فارسی:نگا كیشادان‌
كیشادێيەو	فارسی:آنرا بركشید
كیشا زگێیا‌	فارسی:سبقت‌ گرفت‌
كیشاسا	فارسی:بر كشیده‌
كیشاسان‌	فارسی:١) آنها را كشیده ٢‌) آنها را نقاشی ‌كرده‌ ٣) بسوی خود كشیده‌
كیشاسەو	فارسی:بر كشیده‌
كیشاسەی	فارسی:١) آنرا وزن ‌كرده ٢‌) آنرا نقاشی‌ كرده ٣‌) آنرا كشیده‌
كیشاسێا	فارسی:آنرا بركشیده‌
كیشاسێان‌	فارسی:نگا كیشاسان‌
كیشاسێيەو	فارسی:آنرا بركشیده‌
كیشاس‌	فارسی:١) نقاشی ‌كرده ٢‌) بسر برده‌، تحمل ‌كرده ٣‌) وزن‌ كرده‌
كیشاپێیا‌	فارسی:بر آن ‌پوشاند، بر آن‌ كشید
كیشاگە	فارسی:نگا كیشاێيه‌
كیشاگەو	فارسی:بركشید
كیشاگەی	فارسی:نگا كیشاده‌ی
كیشاگ‌	فارسی:نگا كیشا
كیشدار	فارسی:كشدار، كشش‌دار
كیشدان‌	فارسی:كش‌ دان‌
كیشمانە	فارسی:ترازو، وزن‌ كردن‌
كیشماێ كیش‌	فارسی:جدل‌، درگیری
كیشمەكیش‌	فارسی:درگیری، جدل‌
كیشهاتن‌	فارسی:كش ‌آمدن‌
كیشهاوردن‌	فارسی:كشیدن ‌كش‌
كیشە	فارسی:١) واژه ٢‌) انتقال ‌غله ‌درویده ‌به ‌منزل‌
كیشیان‌	فارسی:١) وزن ‌شدن ٢‌) نقاشی ‌كردن ٣‌) كشیدن ‌دندان‌ ٤) كشیدن‌
كیشیاێ	فارسی:١) وزن ‌شده ٢‌) نقاشی ‌شده ٣‌) كشیده ‌شده‌
كیش‌	فارسی:١) كش‌ تنبان ٢‌) نوعی ‌روسری نازك ‌زنانه‌، در سكزی «كیش‌» گویند ٣) كش ‌آمدن ٤‌) پسوند به ‌معنای ‌كشنده‌ ٥) واژه‌، كلمه ٦‌) وسیله‌ نقل ‌ومكان‌ كننده ٧‌) كشیدن‌، چشیدن‌
كیش‌ كاوڕ	فارسی:خمیازه‌‌، كشش‌ بدن‌
كیفانن‌	فارسی:صدای ‌مار
كیفن‌	فارسی:كسی‌ كه ‌بینی‌اش‌ صدا می‌كند
كیفە	فارسی:صدای ‌مار
كیف‌	فارسی:١) صدای ‌مار ٢) كیف ‌دستی ٣) كوه‌، در دیگر گویشهای کردی «كێف‌» گویند
كیف ‌دەم‌	فارسی:كنایه ‌از دهن‌ گشاد
كی كیانی	فارسی:كنایه ‌از خدا
كیلەچەرمـْگ	فارسی:روستایی در سرپـُل‌ذهاب‌
كیلوو	فارسی:كیلو
كیلْ وەرد	فارسی:در اثر دردی ناگهانی بستری ‌شدن‌
كیلْ‌منجەڕ	فارسی:نگا تیلْ‌ منجه‌ڕ
كیل‌	فارسی:سنگ ‌قبر
كیمیا	فارسی:١) كیمیا ٢) گياهی است كه بنا به اعتقادی هر موجودی از آن تغذيه كند دندانش به طلا تبديل مي‌شود
كیمیاگەر	فارسی:١) كنایه ‌از پزشكی كه ‌دستش ‌شفا دارد ٢) كیمیاگر
كینە	فارسی:كینه‌
كینەتی	فارسی:كینه‌توز
كینەت‌	فارسی:كینه‌
كینەدار	فارسی:كیته‌توز
كینگەڕێ	فارسی:‌اجاق ‌سرپوشیده ‌مانند كوره ‌آهنگری، شومینه‌
كین‌	فارسی:كین‌، كینه‌
كیە	فارسی:كیست‌؟
كیەر	فارسی:بـُز‌ غاله‌، در سكزی‌ «كـَره‌» و در دیگر گویشهای كردی « كار» و در لاتین‌ (kid) گویند
كیەراو	فارسی:١) پس ‌مانده ‌دوغ‌ و لبنیات‌ كه‌ در «چڵاس‌» یا همان ظرف‌ غذاخوری سگ‌ ریزند ٢) آبگوشتی كه ‌از گوشت‌ بـُز‌ درست‌ شده ‌باشد، آبگوشت بز باش
كیەر خسن‌	فارسی:تنبلی‌، ناتوانی
كیەر خسێ	فارسی:تنبل‌، ناتوان‌
كیەرد	فارسی:كارد، در اردیبهشت‌ یشت‌ كه‌ از وسایل ‌پزشكی سخن ‌می‌گوید از (kerte beışezû كرته‌ بئیشه‌زوو) نام ‌می‌برد كه ‌همان ‌كارد پزشكی ا‌ست‌
كیەرد و كەفن‌	فارسی:مراسم ‌كارد كفن ‌كه ‌نوعی ‌از بخشش‌ و قـصاص‌ است‌ بدین گونه ‌كه‌ متهم‌ را در حالی كه ‌چشمانش‌ را با سربند بسته‌اند و كفشهایش‌ را به ‌گردن ‌آویخته‌اند و كارد وكفنی بر دست‌ می‌آورند صاحب ‌دم یابا كارد می‌كشد و كفن‌ می‌كند یا طنابها را پاره‌ می‌كند و كفن‌ را نیز می‌درد
كیەر زگ‌	فارسی:شكم‌ كوچك‌ و ناریك‌
كیەرەلەوان‌	فارسی:كسی ‌كه ‌بـُز‌غاله‌ها را می‌چراند
كیەرەمؤ	فارسی:موی بـُز‌غاله ‌كه ‌همراه ‌روغن ‌و نیمه‌نمك‌ بر روی اندام ‌شكسته‌ یا در رفته ‌گذاشته ‌و می‌بندند
كیەرێز	فارسی:نگا كارێز
كیەنی	فارسی:چشمه‌
كیەنی ئەردەشیری	فارسی:روستایی در گیلانغرب
كیەنیاو	فارسی:چشمه‌سار، آب ‌چشمه‌
كیەنی ماسی	فارسی:‌روستایی در گاوروانی
كیەنی مای	فارسی:نگا كه‌نیمای
كیەنی مردەشوور	فارسی:‌روستایی در دروفرامان از توابع كرماشان
كیەنی مەنەلی	فارسی:‌روستایی در دروفرامان از توابع كرماشان
كیەنی وەلـْگه	فارسی:روستایی در منـصوری
كیەنی چراخ	فارسی:روستایی در سنقر
كیەنی چەرمێ	فارسی:١) روستایی در اسلام آبادغرب ٢) چشمه‌ و روستایی در دیزگران از توابع اسلام آباد غرب ٣‌) روستایی‌ دركرماشان‌ ٤) روستایی در سنقر
كیەنی‌عیسا	فارسی:روستایی در گواور
كیەنی‌كەو	فارسی:١) روستایی در اسلام ‌آباد غرب ٢‌) روستایی در جلالوند ٣) كینی‌كو روتون روستایی در چله از توابع گیلانغرب ٤) روستایی در ایلام
كیەنی‌ كوچگینەێ رؤتەوەن‌	فارسی:روستایی در چله‌ از توابع گیلانغرب
كیەنی‌كوچگین‌	فارسی:روستایی در بخش ‌حـَمیل‌
كیەنی‌هاجگە	فارسی:روستایی در گواور
كیچی	فارسی:عمه‌
كیڕە	فارسی:صدای ‌اصطحکاک ‌بین ‌دو جسم‌ خشك‌
كیڕەكیڕ	فارسی:«كیڕه‌» پیاپی
كیژ	فارسی:كش‌ تنبان‌
كیژكاوڕ	فارسی:خمیازه‌‌، كشیدن ‌بدن‌
كیڵ	فارسی:پیمانه‌ چوبین ‌غله‌
كیڵە‌	فارسی:پیمانه ‌چوبین ‌غله‌
كیڵە‌مەن‌	فارسی:پیمانه ‌چوبین ‌غله‌
كییووپ‌	فارسی:نگا پامه‌ره‌
كێان‌	فارسی:كاهدان‌
كێكف‌	فارسی:درختچەای ‌ا‌ست‌
كێكوو	فارسی:درختچەای ‌ا‌ست‌
كێمینە	فارسی:روستایی در نودشه
كەرەج‌	فارسی:دو روستای علیا و سفلی‌ در صـحنه
كەشكەمیر	فارسی:١) كەش: كوە + میر: مرد/ مرد كوهستان ٢) روستایی در سنقر
كەل سفێد‌	فارسی:روستایی در سنقر
كەنی تۆران‌	فارسی:روستایی در سنقر
كەنی‌با	فارسی:روستایی در سنقر
كەنی‌بەی	فارسی:روستایی در هرسین
كەنی‌حێیەر	فارسی:روستایی در چمچمال از توابع هرسین
كەنی‌قاێر	فارسی:روستایی در چمچمال از توابع هرسین
كەنی‌‌دریژە	فارسی:نام روستایی در كنگاور
كەنی‌‌شاهی‌	فارسی:روستایی در هرسین ‌
كەنی‌‌كەو‌	فارسی:روستایی در هرسین
كەنی‌‌مەی‌	فارسی:روستایی در هرسین
كەن‌ كەو‌	فارسی:روستایی در هرسین
كەپەرگه	فارسی:روستایی در دینور از توابع صـحنه
كەچەڵ‌ ئاوا	فارسی:روستایی در جوانرود
كەڵكوشەن‌	فارسی:سه روستا ‌در هرسین
كەین	فارسی:انجام میدهید
كەینی‌	فارسی:چشمه
كەینی‌ باین	فارسی:نام روستایی در سنقر
كەینی ‌قڵا	فارسی:نام روستایی در سنقر
كەینی‌ كێڵه	فارسی:روستایی در كنگاور
كەی‌ ڕەنگین	فارسی:روستایی در هرسین
لؤ	فارسی:ساحل‌
لؤته ‌لا	فارسی:قهر كردن‌
لؤتە لای	فارسی:قهر كردن‌
لؤتەوانە	فارسی:گل ‌بینی، زیوری كه ‌به بینی آویزند
لؤتگە	فارسی:١) دماغه ٢‌) قله‌ كوه‌
لؤت‌	فارسی:بینی، در دیگر گویشهای كردی «لووت‌، بیڤل‌، كه‌پ‌، كه‌پۆ‌» گویند
لؤت‌ بەرز كردن‌	فارسی:مغرور بودن‌
لؤت ‌بڕیاێ	فارسی:بینی بریده‌
لؤت ‌بڕین‌	فارسی:بینی بریدن‌
لؤت‌ خوریان‌	فارسی:‌به ‌كسی‌ مظنون‌ شدن‌
لؤت‌ دافیسیان‌	فارسی:شكست ‌خوردن ‌وبی آبرو شدن‌
لؤت ‌شكانن‌	فارسی:بینی کسی را شكستن‌
لؤت ‌لاگرتن‌	فارسی:تكبر داشتن‌
لؤت‌ لێ خوریان‌	فارسی:١) هوس‌ كردن ٢‌) مظنون‌ شدن‌
لؤت‌ هەڵخسن‌	فارسی:كنایه‌ از نپسندیدن‌
لؤت ‌پشكانن‌	فارسی:‌بینی شكستن‌
لؤت ‌پیەنەو كردن‌	فارسی:كنایه ‌از بینی شكستن‌
لؤت ‌گرتن‌	فارسی:مغرور بودن‌
لؤت‌ گیریان‌	فارسی:گرفتگی بینی
لؤز	فارسی:یك‌ پره ‌پرتغال ‌یا لیمو، قاچ‌
لؤس‌	فارسی:١) نگا مڵێس‌ ٢) از روی ناپخته‌گی و بی تجربگی با مسایل برخورد کردن ٣‌) میوه‌ی لندیده‌
لؤلاق‌	فارسی:ا‌ستخوان ‌ساعد
لؤلانن‌	فارسی:١) زوزه‌ كشیدن‌ گرگ‌ ٢) پیچاندن‌
لؤلان‌	فارسی:١) پیچ ‌خوردن ٢‌) زوزه‌
لؤلدان‌	فارسی:١) لوله ‌كردن ٢) لوله ‌كردن‌ خمیر برای ‌نان‌
لؤلە	فارسی:١) پیچیدن‌، لوله ‌كردن ٢‌) مچاله ٣‌) لوله ٤‌) زوزه‌، در مازندرانی «لوه‌» و در گیلكی‌ «لوله‌» گویند
لؤله ‌بؤن‌	فارسی:نگا لؤل‌بؤن‌
لؤله ‌كردن‌	فارسی:نگا لؤل ‌كردن‌
لؤلەوا	فارسی:نوعی قیماق كه‌ آردش ‌را بجای ‌برشتن ‌بو می‌دهند
لؤلەینە	فارسی:آفتابه ‌مسی
لؤلپەڕ	فارسی:نیلوفر
لؤل‌	فارسی:١) واحد لول ‌تریاك ٢‌) مچاله‌ كردن‌
لؤل ‌كردن‌	فارسی:١) مچاله ‌كردن ٢‌) لوله ‌كردن‌ ، پیچاندن‌ ٣) پیچیدن ‌فرش‌ وقالی ‌و...
لؤل ‌كریا	فارسی:مچاله ‌شد، لوله ‌شد
لؤل ‌كریان‌	فارسی:مچاله ‌شدن‌
لؤل ‌كریاگ‌	فارسی:مچاله و لوله ‌شده‌
لؤل ‌كریاێ	فارسی:مچاله ‌شده‌
لؤنە	فارسی:آسیابان‌
لؤیەتا كردن‌	فارسی:١) لخت‌ كردن ٢‌) كنایه‌ از به تمامی دزدیدن ‌دارایی، غارت ‌كردن‌، در لاتین‌ (loot) به‌ معنای غارت ‌كردن ‌ا‌ست‌
لؤیەتەو بؤن‌	فارسی:لخت ‌شدن‌
لؤیەتەو كردن‌	فارسی:نگا لؤیه‌تا كردن‌
لؤیەتی	فارسی:برهنگی
لؤیەت‌	فارسی:برهنه‌، لخت‌
لؤیەت ‌بؤن‌	فارسی:لخت‌ شدن‌
لا	فارسی:١) امر به‌ كنار رفتن‌ ٢) لایه‌، داخل‌ ٣) رویه‌، روكش‌ ٤) كنایه‌ از چهره‌، رخساره‌ ٥) لت‌، نیمه ٦‌) نزد، پیش‌ ٧) كنار گذاشتن‌ ٨) سو، سمت‌، جانب ٩‌) جسم‌، تن ١٠‌) طرفداری كردن ١١‌) گیس‌ بافته‌ شده‌
لائین‌	فارسی:طرفدار، هوا خواه‌
لائین‌ توواسن‌	فارسی:طرفداری كردن‌، حمایت ‌كردن‌
لائین ‌دار	فارسی:طرفدار
لائین ‌نێیا‌ن‌	فارسی:همچنان طرفدار ماندن‌
لائین‌ گر	فارسی:طرفدار
لائین ‌گرتن‌	فارسی:طرفداری كردن‌
لاباخ	فارسی:دو روستای علیا وسفلی ‌در باینگان
لابار	فارسی:لنگه‌بار
لابان‌	فارسی:سمت ‌بالا، رو به ‌بالا
لابان ‌لێ بڕین‌	فارسی:راه ‌گریز را مسدود كردن‌
لاباڵ	فارسی:١) دم ‌دست‌، پرورش‌ یافته مكتب ‌كسی‌ ٢) با كناره ‌دست‌ زدن‌
لابردن‌	فارسی:١) دور کردن ٢) برداشتن‌‌
لابە	فارسی:١) لجاجت ٢‌) امر به برداشتن ‌
لابو	فارسی:سد خاكی
لابڕ	فارسی:١) میانبر، اریب ٢‌) كنایه ‌از بخشش ‌فراوان‌
لابڕ كردن‌	فارسی:كنایه از ‌بخشش‌ فراوان‌
لابڕیاێ	فارسی:نفرینی ‌برای ‌زنان‌، اصل ‌واژه ‌به ‌معنی‌ بریدن ‌قسمتی ‌از گیسوان ‌ا‌ست‌
لابڕین‌	فارسی:كنایه ‌از تنبیه‌ كردن ‌و بد نام ‌شدن‌
لاتا	فارسی:١) نوعی ‌اجاره ‌دادن ‌و كرایه گرفتن ‌‌بدین ‌گونه ‌كه ‌اگر كسی‌ الاغ ‌كسی‌ را برای ‌آوردن هیزم ‌به ‌كوه‌ ببرد هنگام ‌برگشت ‌مقداری از هیزم ‌آورده ‌شده‌ متعلق ‌به صاحب‌ الاغ ‌ا‌ست‌، درصد، پورسانت‌ ٢) یك ‌قسمت ‌از خورجین‌، یك‌ تای خورجین‌
لاتاؤس‌	فارسی:اندكی‌، كمی، یک دوم کاسه کوچک‌
لاتاخسن‌	فارسی:بیكاری ‌و تنبلی ‌كردن، همتای کنگر خوردن و لنگر انداختن
لاتار	فارسی:سنگی ‌که از كوه ‌سرازیر می‌شود
لاتاس‌	فارسی:به ‌اندازه ‌نیمی از كاسه‌، كنایه ‌از اندك‌
لاتانە	فارسی:كار هرزگی، لاتی
لاتان‌	فارسی:نزد شما
لاتبازی‌	فارسی:لات‌ بازی‌
لاتخانە	فارسی:نوانخانه‌
لاترازە	فارسی:جهش‌ برداشتن‌
لاتە	فارسی:١) نزد توست‌ ٢) فقیر ا‌ست‌ ٣) لات‌ ا‌ست‌
لاتەبەق‌	فارسی:١) نـصف ‌یك ‌طبق ‌از هر چیزی‌ ٢‌) نیم ‌یك‌ ورق‌ كاغذ
لاتەخسن‌	فارسی:تنبلی ‌و بیكاری‌ كردن‌
لاتەوەق‌	فارسی:نگا لاته‌به‌ق‌
لاتْلؤت‌	فارسی:اوباش‌
لاتی	فارسی:لات ‌بازی‌
لاتیە	فارسی:نوعی ‌كلاه‌
لات‌	فارسی:١) ندار، فقیر ٢) كنایه ‌از بـُز‌ یا گوسفند لاغر ٣) نزد تو ٤) لات‌، لاابالی
لات ‌بؤن‌	فارسی:١) ندار شدن‌، فقیر شدن‌ ٢) هرزه‌ گرد شدن‌
لات‌ فرووشی	فارسی:شارلاتانی، لات ‌بازی‌
لاجانگیە	فارسی:گیجگاهی
لاجەوەرد	فارسی:١) نوعی ‌مهره ‌آبی ٢‌) لاجوردی
لاجین‌	فارسی:نوعی زیرا‌ستكان ‌چینی مرغوب‌ كه‌ برگرفته ‌از نام ‌شهر لاله‌جین‌ همدان ‌ا‌ست‌
لاخسن‌	فارسی:١) درگیر نشدن‌، پرهیزكردن ٢‌) كنایه ‌از كتك ‌كاری ‌مفـصل ٣‌) بر پهلو دراز كشیدن‌
لاخوار	فارسی:قسمت ‌پایینی
لاد	فارسی:نزد تو، پیش‌ تو
